female,race,age,education,income,married,unemployed,homemaker,rellig,attend,pid7_r,pid2_r,ideology_c,followpol,campint,vote12,who12,who12_r,voteprim,whoprim,whoprim_r,whoprim_trump,intendvote,intendwho,intend_r,intend_trump,intendstrength,intendstrength_trump,vote16,who16,who16_r,who16_trump,prefercand,prefertrump,switch_trump,switch_trumpr,abstainer_r,abstainer_trump,new_r,switcher_r,demangry_rc,demhope,demafraid_rc,demproud,demdisgust_rc,demaffect,repangry_rc,rephope,repafraid_rc,repproud,repdisgust_rc,repaffect,femscale,femscale_rc,antifemscale,tradfamily,womenmedia,womenfavors,womenprob,womendisc,sexismremarks,sexismfail,sexismpower,sexismleash,sexism_hostile,sexism_hostile.rc,sexism,heardvideo,mattervideo,economy,worldpos,whitejobloss,whitegov1,whitegov2,whiteunfair,whitelaws,whiteid,americanid,immgoodecon_rc,immharmcult,immincreasecrime,negimm,rrfavors,rrslavery_rc,rrless_rc,rrtry,rrscale,muslimsviolent,auth1,auth2,auth3,auth4,auth,domspending,defensespending,fightisis,allowrefugees,raiseminwage,actclimate,aca,toopc,repwomen,repwomen.rc,demwomen
1,"White, nonHispanic",73,10,,1,0,0,4,6,7,1,6,4,2,1,Mitt Romney,1,1,Donald Trump,1,1,1,Donald Trump,1,1,1,3,1,Donald Trump,1,1,1,1,0,0,0,,0,0,1,1,1,1,1,5,5,5,5,5,5,25,1,5,1,4,4,2,3,9,4,3,2,2,7,11,11,1,1,1,1,3,0,0,0,4,3,5,4,2,4,10,4,3,2,2,11,3,3,1,1,1,6,4,6,6,2,4,1,1,3,7,1,4
0,"White, nonHispanic",69,13,17,1,0,0,4,4,5,1,7,5,3,1,Mitt Romney,1,1,Donald Trump,1,1,1,Donald Trump,1,1,1,3,1,Donald Trump,1,1,1,1,0,0,0,,0,0,2,1,1,1,1,6,5,5,5,5,5,25,1,5,1,7,4,2,2,8,4,1,3,3,7,11,11,1,2,1,1,5,1,3,3,2,3,5,1,1,3,5,5,5,5,3,18,4,3,3,1,1,8,1,7,7,1,4,1,1,4,4,4,1
1,"White, nonHispanic",41,13,11,0,0,0,3,6,6,1,4,2,1,1,Barack Obama,0,0,,,,0,,,,,,0,,,,,,,,,0,,,5,2,5,1,5,18,5,1,5,1,5,17,1,5,3,7,4,3,4,11,4,4,4,4,12,6,16,1,5,2,1,3,1,1,1,1,1,1,5,,2,,3,2,4,4,13,4,3,3,3,2,11,,,6,6,4,5,6,3,1,7,6
0,"White, nonHispanic",67,16,6,0,0,0,2,2,2,0,2,5,3,1,Barack Obama,0,0,,,,1,Hillary Clinton,0,0,1,2,1,Hillary Clinton,0,0,0,0,,,,,,,5,2,5,2,5,19,4,1,3,1,1,10,1,5,1,7,4,4,4,12,2,4,1,3,8,10,10,1,5,4,1,2,1,2,2,3,4,4,4,2,2,8,1,2,4,1,8,5,3,3,1,1,8,4,3,4,5,4,4,6,2,1,7,6
1,"White, nonHispanic",59,9,7,0,1,0,4,1,3,0,4,4,2,0,,,0,,,,1,,,,,,,,,,,,,,,,,,3,2,3,2,4,14,3,3,3,3,3,15,3,3,1,,,,,,3,3,3,4,10,8,13,,,2,1,,,,,,,,,,,,,,,,,,,,,,,4,3,7,1,,7,2,3,,,
0,"White, nonHispanic",54,11,21,1,0,0,4,6,7,1,4,4,3,1,Mitt Romney,1,1,Donald Trump,1,1,1,Donald Trump,1,1,1,3,1,Donald Trump,1,1,1,1,0,0,0,,0,0,1,1,1,1,1,5,5,4,5,4,5,23,1,5,2,6,1,2,2,5,4,4,4,4,12,6,16,1,1,1,1,3,1,3,3,1,4,4,4,2,2,8,5,5,5,5,20,7,3,3,3,3,12,4,7,7,1,4,4,1,4,6,2,1
0,Hispanic,48,4,5,0,0,0,1,1,3,0,4,2,3,0,,,0,,,,1,Donald Trump,1,1,1,3,0,,,,,,,,,1,,,5,5,5,3,5,23,3,2,3,3,3,14,1,5,1,7,4,4,3,11,4,2,5,5,12,6,16,1,1,3,3,,1,3,3,,,4,2,4,5,11,5,2,3,5,15,4,3,3,3,3,12,4,,7,1,4,4,4,2,6,2,7
1,"Black, nonHispanic",26,10,21,0,0,0,3,2,2,0,2,3,3,1,Barack Obama,0,0,,,,1,Hillary Clinton,0,0,2,1,1,Hillary Clinton,0,0,1,0,,,,,,,4,3,5,2,4,18,2,1,4,1,1,9,4,2,1,4,7,4,4,15,4,1,2,1,4,14,8,1,3,3,3,,1,3,3,,,2,5,1,1,7,1,1,1,1,4,4,1,3,1,1,6,5,3,1,6,4,4,7,3,2,6,4
,"White, nonHispanic",9,8,,1,0,0,3,4,5,1,6,4,3,1,Mitt Romney,1,1,Donald Trump,1,1,,,,,,,1,,,,,,,,1,,,,2,1,4,1,3,11,4,4,4,2,4,18,,,,5,4,3,4,11,,,,,,,,1,1,2,1,,,,,,,,3,2,4,9,5,2,4,4,15,,3,3,3,3,12,4,5,,1,4,4,1,,6,2,6
1,"White, nonHispanic",25,11,9,0,0,0,3,4,7,1,5,2,2,1,Mitt Romney,1,1,Another Republican,1,0,1,Donald Trump,1,1,1,3,1,Donald Trump,1,1,1,1,1,1,0,,0,0,2,1,2,2,2,9,4,2,4,4,4,18,2,4,2,6,4,4,4,12,4,3,2,2,7,11,11,1,2,2,1,3,1,1,1,2,2,4,2,2,3,7,5,5,5,3,18,4,3,1,3,1,8,4,,4,1,3,4,1,4,4,4,7
1,"Black, nonHispanic",46,13,19,0,0,0,2,4,1,0,1,5,3,1,Barack Obama,0,0,,,,1,Hillary Clinton,0,0,1,2,1,Hillary Clinton,0,0,1,0,,,,,,,5,5,5,5,5,25,1,1,1,1,1,5,5,1,1,7,7,5,4,16,3,3,3,3,9,9,12,1,5,4,3,,1,3,3,,,4,1,2,3,6,2,5,5,5,17,4,3,2,3,2,10,1,,2,1,4,4,7,4,1,7,7
0,"White, nonHispanic",59,11,14,0,0,0,3,5,7,1,6,5,3,1,Mitt Romney,1,1,Donald Trump,1,1,1,Donald Trump,1,1,1,3,1,Donald Trump,1,1,1,1,0,0,0,,0,0,1,1,1,1,1,5,5,5,5,5,5,25,1,5,4,4,4,4,4,12,1,2,1,1,4,14,5,1,1,1,1,4,0,0,0,4,5,5,5,3,3,11,5,2,5,5,17,5,3,3,3,3,12,1,7,7,1,3,4,1,4,7,1,4
1,"White, nonHispanic",39,12,14,1,0,1,1,3,5,1,4,4,3,1,Mitt Romney,1,0,,,,1,Donald Trump,1,1,1,3,1,Donald Trump,1,1,0,0,,,0,,0,0,1,1,2,1,1,6,5,4,5,2,5,21,1,5,1,7,2,2,3,7,5,3,3,3,9,9,14,1,1,1,1,3,1,1,1,3,2,4,3,3,2,8,5,4,5,,,4,1,1,1,1,4,2,1,2,1,4,4,1,4,4,4,2
1,"White, nonHispanic",52,13,26,1,0,0,3,4,2,0,3,3,3,1,Barack Obama,0,1,Hillary Clinton,0,0,1,Hillary Clinton,0,0,1,2,1,Hillary Clinton,0,0,1,0,0,,,,,,5,4,4,4,5,22,2,1,1,1,1,6,4,2,1,4,6,4,5,15,1,2,1,1,4,14,5,1,5,4,3,1,1,2,2,1,4,5,4,1,1,6,2,4,2,1,9,2,1,1,1,1,4,3,4,7,7,3,6,7,2,1,7,7
1,Hispanic,29,13,13,0,0,0,4,5,4,,6,2,1,0,,,0,,,,,,,,,,,,,,,,,,,0,,,5,2,5,2,5,19,1,1,4,1,2,9,2,4,3,7,4,3,4,11,1,4,4,4,12,6,13,0,,3,2,,1,3,3,,,3,5,1,3,9,4,4,4,4,16,4,3,3,3,1,10,6,4,4,6,4,6,3,1,5,3,6
0,"White, nonHispanic",46,11,17,0,0,0,4,2,5,1,4,4,3,1,Barack Obama,0,1,Bernie Sanders,0,0,1,Donald Trump,1,1,2,4,1,Donald Trump,1,1,1,1,1,,,,,,1,1,3,1,1,7,5,3,5,3,5,21,1,5,1,7,2,3,3,8,3,3,4,4,11,7,14,1,2,1,1,4,1,1,1,5,5,5,4,1,2,7,5,5,5,5,20,3,3,3,3,3,12,4,5,6,1,4,4,2,4,4,4,4
0,Other nonHispanic incl multiple races [WEB: blank 'Other' counted as a race],45,,24,0,0,0,1,1,1,0,2,2,3,1,Barack Obama,0,0,,,,1,Hillary Clinton,0,0,1,2,0,,,,,,,,,0,,,4,2,5,2,5,18,4,2,4,2,4,16,3,3,1,4,4,5,,,2,3,3,4,10,8,12,1,3,3,2,,1,2,2,,1,5,3,2,2,7,1,1,3,1,6,5,3,3,3,2,11,6,9,6,6,4,7,7,2,2,6,3
0,"Black, nonHispanic",64,8,1,1,0,0,3,2,2,0,4,2,2,1,Barack Obama,0,1,Hillary Clinton,0,0,,,,,,,1,,,,,,,,,,,,4,4,4,4,4,20,2,1,4,2,2,11,1,5,1,,,,,,3,3,3,3,9,9,12,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,5,6,4,,7,1,,,,
1,"White, nonHispanic",43,11,1,0,0,0,2,2,3,0,4,1,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,5,1,5,1,5,17,4,1,4,5,3,17,4,2,4,,,,,,3,5,,4,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,,4,7,2,,,
